DataHora,TemperaturaInterna,TemperaturaExterna,Ventilador,Aquecedor
2024-12-02 13:53:50.514738,26.26,28.76,0,1
2024-12-02 14:03:50.514738,26.37,28.65,0,1
2024-12-02 14:13:50.514738,26.51,29.11,0,1
2024-12-02 14:23:50.514738,26.6,29.52,0,1
2024-12-02 14:33:50.514738,26.78,29.26,0,1
2024-12-02 14:43:50.514738,26.91,29.14,0,1
2024-12-02 14:53:50.514738,27.09,29.53,0,1
2024-12-02 15:03:50.514738,27.25,29.73,0,1
2024-12-02 15:13:50.514738,27.4,29.9,0,1
2024-12-02 15:23:50.514738,27.52,30.0,0,1
2024-12-02 15:33:50.514738,27.58,30.0,0,1
2024-12-02 15:43:50.514738,27.56,29.78,0,0
2024-12-02 15:53:50.514738,27.64,30.0,0,0
2024-12-02 16:03:50.514738,27.59,30.0,0,0
2024-12-02 16:13:50.514738,27.52,29.63,0,0
2024-12-02 16:23:50.514738,27.6,29.48,0,0
2024-12-02 16:33:50.514738,27.51,29.64,0,0
2024-12-02 16:43:50.514738,27.59,29.38,0,0
2024-12-02 16:53:50.514738,27.65,29.33,0,0
2024-12-02 17:03:50.514738,27.66,29.81,0,0
2024-12-02 17:13:50.514738,27.67,29.84,0,0
2024-12-02 17:23:50.514738,27.61,29.66,0,0
2024-12-02 17:33:50.514738,27.57,29.55,0,0
2024-12-02 17:43:50.514738,27.65,29.7,0,0
2024-12-02 17:53:50.514738,27.56,29.38,0,0
2024-12-02 18:03:50.514738,27.65,29.82,0,0
2024-12-02 18:13:50.514738,27.58,29.5,0,0
2024-12-02 18:23:50.514738,27.66,29.64,0,0
2024-12-02 18:33:50.514738,27.7,29.62,0,0
2024-12-02 18:43:50.514738,27.61,29.55,0,0
2024-12-02 18:53:50.514738,27.53,29.7,0,0
2024-12-02 19:03:50.514738,27.6,29.37,0,0
2024-12-02 19:13:50.514738,27.53,29.33,0,0
2024-12-02 19:23:50.514738,27.55,29.63,0,0
2024-12-02 19:33:50.514738,27.55,29.77,0,1
2024-12-02 19:43:50.514738,27.58,29.5,0,1
2024-12-02 19:53:50.514738,27.62,29.92,0,0
2024-12-02 20:03:50.514738,27.59,29.92,0,0
2024-12-02 20:13:50.514738,27.67,30.0,0,0
2024-12-02 20:23:50.514738,27.76,30.0,0,0
2024-12-02 20:33:50.514738,27.69,30.0,0,0
2024-12-02 20:43:50.514738,27.77,29.95,0,0
